AI Prompts 

Date,Prompt ID,Prompt,Category
2025-07-01,P046,"Me trying to act chill when my favorite artist drops a surprise album",Pop Culture
2025-07-02,P047,"When your VR headset dies mid-boss fight and you’re screaming",Gaming
2025-07-03,P048,"POV: You’re prepping for 4th of July but the AI grill is malfunctioning",Seasonal
2025-07-04,P049,"When your AI fireworks display glitches but the BBQ is still lit",Seasonal
2025-07-05,P050,"When you try to flex your new drone but it crashes into a tree",Tech/AI
2025-07-06,P051,"POV: You’re stuck in a group chat planning a beach trip",Relatable Humor
2025-07-07,P052,"When you realize the new Spider-Man movie is a multiverse reboot",Pop Culture
2025-07-08,P053,"Me acting like I’m not addicted to the new battle royale game",Gaming
2025-07-09,P054,"When your AI alarm clock roasts you for hitting snooze 10 times",Tech/AI
2025-07-10,P055,"POV: You’re trying to go viral on X but your meme is too niche",Internet Trends
2025-07-11,P056,"When your professor extends the deadline and you feel like a champion",School Life
2025-07-12,P057,"Me pretending I’m not stressed about my hybrid work schedule",Work Life
2025-07-13,P058,"When you try to take an aesthetic summer pic but it’s just sweat",Seasonal
2025-07-14,P059,"POV: You’re explaining why you still use wired headphones in 2025",Relatable Humor
2025-07-15,P060,"When you get hyped for a new sci-fi show but it’s all AI propaganda",Pop Culture
2025-07-16,P061,"Me trying to rank up in the new esports league but my lag says no",Gaming
2025-07-17,P062,"When your AI therapist suggests you ‘log off’ to fix your anxiety",Tech/AI
2025-07-18,P063,"POV: You’re at a concert but your AR glasses keep showing ads",Internet Trends
2025-07-19,P064,"When you realize your summer job is just making TikToks for a startup",Work Life
2025-07-20,P065,"Me acting like I’m not obsessed with the new viral cat meme",Relatable Humor
2025-07-21,P066,"When you try to watch the new Avatar movie but it’s 4 hours long",Pop Culture
2025-07-22,P067,"POV: You’re stuck in a 3-hour server queue for the new MMO",Gaming
2025-07-23,P068,"When your smart thermostat turns your house into a sauna",Tech/AI
2025-07-24,P069,"Me pretending I’m ready for the back-to-school grind in August",School Life
2025-07-25,P070,"When you join an X Spaces debate but it’s just chaos",Internet Trends
2025-07-26,P071,"POV: You’re at a summer BBQ but the playlist is stuck on 2023 hits",Seasonal
2025-07-27,P072,"When your AI coworker gets promoted but you’re still on emails",Work Life
2025-07-28,P073,"Me acting like I didn’t just spend $200 on in-game skins",Gaming
2025-07-29,P074,"When you try to make a wholesome meme but X turns it savage",Relatable Humor
2025-07-30,P075,"POV: You’re hyped for the new Dune sequel but it’s all sand again",Pop Culture
2025-07-31,P076,"When your AI workout app says you’re ‘not giving main character energy’",Tech/AI
2025-08-01,P077,"Me pretending I’m not stressed about summer ending",Seasonal
2025-08-02,P078,"When you try to flex your new e-scooter but it’s out of battery",Relatable Humor
2025-08-03,P079,"POV: You’re grinding side quests instead of studying for finals",Gaming
2025-08-04,P080,"When your AI assistant spoils the ending of a new Netflix thriller",Pop Culture
2025-08-05,P081,"Me acting like I’m ready for the new TikTok algorithm changes",Internet Trends
2025-08-06,P082,"When your hybrid work setup is just a laptop and bad Wi-Fi",Work Life
2025-08-07,P083,"POV: You’re trying to enjoy a beach day but your AI sunscreen bot overapplies",Seasonal
2025-08-08,P084,"When you realize your professor is using AI to grade your essays",School Life
2025-08-09,P085,"Me pretending I didn’t just rage-quit a casual mobile game",Gaming
2025-08-10,P086,"When your AR contact lenses glitch during a first date",Tech/AI
2025-08-11,P087,"POV: You’re trying to make a viral X post but it’s just your lunch",Relatable Humor
2025-08-12,P088,"When you get hyped for a new anime season but it’s filler episodes",Pop Culture
2025-08-13,P089,"Me acting like I’m not addicted to scrolling X at 2 AM",Internet Trends
2025-08-14,P090,"When your AI planner schedules a meeting during your nap time",Work Life
2025-08-15,P091,"POV: You’re at a summer music festival but your AI earbuds keep cutting out",Seasonal
2025-08-16,P092,"When you try to make a meme about AI but it’s too meta",Tech/AI
2025-08-17,P093,"Me pretending I’m prepared for the new school year’s chaos",School Life
2025-08-18,P094,"When you finally unlock a rare skin but your friends don’t care",Gaming
2025-08-19,P095,"POV: You’re explaining ‘Ohio energy’ to someone who’s never on X",Relatable Humor
2025-08-20,P096,"When you try to watch a new Marvel show but it’s locked behind a paywall",Pop Culture
2025-08-21,P097,"Me acting like my AI coffee maker didn’t just ruin my morning",Tech/AI
2025-08-22,P098,"When you join a viral dance challenge but your moves are giving 2010",Internet Trends
2025-08-23,P099,"POV: You’re stuck in a group project with someone who’s always offline",School Life
2025-08-24,P100,"When your summer vacation pics get less likes than your dog’s meme",Relatable Humor

2025-08-25,P101,"When your AI backpack organizer forgets your laptop on the first day of school",School Life
2025-08-26,P102,"Me acting like I’m hyped for the new Fortnite season but I’m still trash",Gaming
2025-08-27,P103,"When you try to make a viral X post but your algorithm is stuck in 2024",Internet Trends
2025-08-28,P104,"POV: You’re binge-watching a new sci-fi series but it’s all AI metaphors",Pop Culture
2025-08-29,P105,"When your smart mirror tells you your outfit is ‘not giving’",Tech/AI
2025-08-30,P106,"Me pretending I’m not stressed about back-to-school shopping",Seasonal
2025-08-31,P107,"When you accidentally send a meme to your boss instead of your coworker",Work Life
2025-09-01,P108,"POV: You’re trying to flex your new dorm setup but it’s just chaos",School Life
2025-09-02,P109,"When you realize the new GTA VI update dropped but your console is bricked",Gaming
2025-09-03,P110,"Me acting like I understand the new TikTok slang my students are using",Relatable Humor
2025-09-04,P111,"When your AI professor catches you using AI to write your essay",Tech/AI
2025-09-05,P112,"POV: You’re hyped for a new Marvel movie but it’s another multiverse",Pop Culture
2025-09-06,P113,"When you join an X challenge but your video is just you tripping",Internet Trends
2025-09-07,P114,"Me pretending I’m ready for Labor Day weekend but I’m just napping",Seasonal
2025-09-08,P115,"When your hybrid work schedule gives you Zoom fatigue by Tuesday",Work Life
2025-09-09,P116,"POV: You’re grinding for a new skin but your Wi-Fi says ‘not today’",Gaming
2025-09-10,P117,"When your AI study buddy roasts your procrastination habits",School Life
2025-09-11,P118,"Me acting like I didn’t just cry over a viral dog rescue video",Relatable Humor
2025-09-12,P119,"When you try to flex your new AR glasses but they crash mid-presentation",Tech/AI
2025-09-13,P120,"POV: You’re waiting for the new Stranger Things season but it’s delayed",Pop Culture
2025-09-14,P121,"When you try to make a fall aesthetic meme but it’s still 90 degrees",Seasonal
2025-09-15,P122,"Me pretending I’m productive but I’m just refreshing X for memes",Internet Trends
2025-09-16,P123,"When your AI coworker takes credit for your spreadsheet skills",Work Life
2025-09-17,P124,"POV: You’re trying to ace a group project but your team is offline",School Life
2025-09-18,P125,"When you pre-order the Nintendo Switch 2 but scalpers snatch it",Gaming
2025-09-19,P126,"Me acting like I’m not obsessed with the new viral X sound",Relatable Humor
2025-09-20,P127,"When your smart fridge spoils your groceries but sends you a meme",Tech/AI
2025-09-21,P128,"POV: You’re hyped for a new anime drop but it’s dubbed only",Pop Culture
2025-09-22,P129,"When you try to make a cozy fall vibe but your AC is broken",Seasonal
2025-09-23,P130,"When you join a viral dance trend but your moves are giving 2015",Internet Trends
2025-09-24,P131,"Me pretending I’m not stressed about midterms already",School Life
2025-09-25,P132,"When your AI assistant schedules a meeting during your lunch break",Work Life
2025-09-26,P133,"POV: You’re raging in a new esports tournament but your ping is 300",Gaming
2025-09-27,P134,"When you try to make a wholesome meme but X makes it chaotic",Relatable Humor
2025-09-28,P135,"When your VR classroom glitches and you’re stuck in a virtual void",Tech/AI
2025-09-29,P136,"Me acting like I’m caught up on the new Star Wars series",Pop Culture
2025-09-30,P137,"When you realize October is here but you’re not ready for spooky season",Seasonal
2025-10-01,P138,"POV: You’re trying to go viral on X but your meme is too niche",Internet Trends
2025-10-02,P139,"When your AI TA grades your paper harsher than your professor",School Life
2025-10-03,P140,"Me pretending I’m not hyped for the new Call of Duty campaign",Gaming
2025-10-04,P141,"When your smart coffee maker brews decaf by mistake",Tech/AI
2025-10-05,P142,"POV: You’re at a fall festival but your pumpkin spice latte is cold",Seasonal
2025-10-06,P143,"When you try to flex your new Netflix watchlist but it’s just rewatches",Pop Culture
2025-10-07,P144,"Me acting like I’m not addicted to scrolling X during class",Relatable Humor
2025-10-08,P145,"When your AI boss schedules a performance review on your day off",Work Life
2025-10-09,P146,"POV: You’re trying to rank up in a new game but your teammates are bots",Gaming
2025-10-10,P147,"When you make a Halloween meme but it’s too spooky for your group chat",Seasonal
2025-10-11,P148,"Me pretending I understand the new TikTok algorithm",Internet Trends
2025-10-12,P149,"When your AI study app locks you out for ‘excessive procrastination’",School Life
2025-10-13,P150,"POV: You’re hyped for a new horror movie but you’re scared already",Pop Culture
2025-10-14,P151,"When your smart thermostat turns your dorm into a freezer",Tech/AI
2025-10-15,P152,"Me acting like I’m ready for midterms but I’m just vibing",Relatable Humor
2025-10-16,P153,"When you try to make a spooky X post but it’s just a cat in a costume",Seasonal
2025-10-17,P154,"POV: You’re stuck in a virtual meeting but your AI avatar is glitching",Work Life
2025-10-18,P155,"When you finally beat a tough boss but your game crashes",Gaming
2025-10-19,P156,"Me pretending I’m not obsessed with the new viral X challenge",Internet Trends
2025-10-20,P157,"When your AI professor assigns a 20-page paper due tomorrow",School Life
2025-10-21,P158,"POV: You’re trying to watch a new Netflix thriller but it’s predictable",Pop Culture
2025-10-22,P159,"When your smart watch buzzes ‘stand up’ during a horror movie",Tech/AI
2025-10-23,P160,"Me acting like I’m not stressed about Halloween costume planning",Seasonal
2025-10-24,P161,"When you try to make a relatable meme but it’s too specific",Relatable Humor
2025-10-25,P162,"POV: You’re grinding a new MMO but the servers are down",Gaming
2025-10-26,P163,"When your AI coworker sends you a meme during a serious meeting",Work Life
2025-10-27,P164,"Me pretending I’m caught up on the new anime season",Pop Culture
2025-10-28,P165,"When you try to make a viral X post but it’s just your lunch",Internet Trends
2025-10-29,P166,"POV: You’re prepping for Halloween but your costume is a flop",Seasonal
2025-10-30,P167,"When your Halloween costume is a viral meme but nobody gets it",Seasonal
2025-10-31,P168,"When your AI party planner throws a Halloween rager but forgets the snacks",Seasonal
2025-11-01,P169,"Me acting like I’m ready for November but I’m still in spooky mode",Relatable Humor
2025-11-02,P170,"POV: You’re trying to rank up in a new battle royale but your aim is off",Gaming
2025-11-03,P171,"When your AI study group ghosts you before the big exam",School Life
2025-11-04,P172,"When you try to flex your new Marvel trivia but it’s all multiverse",Pop Culture
2025-11-05,P173,"Me pretending I’m not addicted to X Spaces debates",Internet Trends
2025-11-06,P174,"When your smart lamp dims during a late-night work session",Tech/AI
2025-11-07,P175,"POV: You’re at a fall bonfire but your AI playlist is all summer bangers",Seasonal
2025-11-08,P176,"When you try to make a wholesome meme but your coworkers make it savage",Work Life
2025-11-09,P177,"Me acting like I’m not hyped for the new esports league",Gaming
2025-11-10,P178,"When your AI professor uses 2025 slang to sound ‘hip’",School Life
2025-11-11,P179,"POV: You’re honoring Veterans Day but your AI flag display glitches",Seasonal
2025-11-12,P180,"When you try to watch a new sci-fi show but it’s just AI propaganda",Pop Culture
2025-11-13,P181,"Me pretending I’m not stressed about Thanksgiving plans",Relatable Humor
2025-11-14,P182,"When your AI assistant joins a viral X challenge without you",Internet Trends
2025-11-15,P183,"POV: You’re stuck in a virtual office party with bad Wi-Fi",Work Life
2025-11-16,P184,"When you finally unlock a rare item but your game bans you for ‘sus activity’",Gaming
2025-11-17,P185,"Me acting like I’m ready for finals but I’m just doomscrolling",School Life
2025-11-18,P186,"When your smart fridge orders turkey for Thanksgiving but it’s vegan",Tech/AI
2025-11-19,P187,"POV: You’re hyped for a new Pixar movie but it’s too wholesome",Pop Culture
2025-11-20,P188,"When you try to make a cozy Thanksgiving meme but it’s just chaos",Seasonal
2025-11-21,P189,"Me pretending I’m not addicted to the new TikTok sound",Internet Trends
2025-11-22,P190,"When your AI coworker schedules a meeting during the holiday break",Work Life
2025-11-23,P191,"POV: You’re trying to enjoy a family dinner but your phone keeps buzzing",Relatable Humor
2025-11-24,P192,"When you get hyped for a new open-world game but it’s buggy",Gaming
2025-11-25,P193,"Me acting like I’m prepared for Black Friday but I’m just broke",Seasonal
2025-11-26,P194,"When your AI shopping assistant buys you socks for Christmas",Tech/AI
2025-11-27,P195,"POV: You’re at Thanksgiving but your AI oven burns the turkey",Seasonal
2025-11-28,P196,"When you try to flex your new Netflix watchlist but it’s all holiday rom-coms",Pop Culture
2025-11-29,P197,"Me pretending I’m not stressed about finals week",School Life
2025-11-30,P198,"When you join an X meme contest but your entry is too chaotic",Internet Trends
2025-12-01,P199,"POV: You’re trying to rank up before the holiday break but your team is AFK",Gaming
2025-12-02,P200,"When your AI study app locks you out for ‘excessive holiday vibes’",Relatable Humor
2025-12-03,P201,"When your AI professor assigns a holiday project due January 2nd",School Life
2025-12-04,P202,"Me acting like I’m not hyped for the new Star Wars game",Gaming
2025-12-05,P203,"POV: You’re trying to make a viral X post but it’s just your Christmas tree",Internet Trends
2025-12-06,P204,"When you binge a new Netflix holiday special but it’s too sappy",Pop Culture
2025-12-07,P205,"When your smart speaker plays death metal instead of Christmas carols",Tech/AI
2025-12-08,P206,"Me pretending I’m ready for holiday family chaos",Seasonal
2025-12-09,P207,"When you try to flex your new work-from-home setup but it’s just a blanket fort",Work Life
2025-12-10,P208,"POV: You’re grinding for a new skin but the holiday servers crash",Gaming
2025-12-11,P209,"When your AI gift recommender suggests socks for your gamer friend",Relatable Humor
2025-12-12,P210,"When you try to watch a new Marvel holiday special but it’s multiverse again",Pop Culture
2025-12-13,P211,"Me acting like I’m not stressed about Secret Santa shopping",Seasonal
2025-12-14,P212,"When your AI assistant joins an X meme contest without permission",Internet Trends
2025-12-15,P213,"POV: You’re stuck in a virtual holiday party with laggy Wi-Fi",Work Life
2025-12-16,P214,"When your smart thermostat turns your house into an igloo",Tech/AI
2025-12-17,P215,"Me pretending I’m prepared for finals but I’m just gift-wrapping",School Life
2025-12-18,P216,"When you finally beat a holiday event boss but the rewards are trash",Gaming
2025-12-19,P217,"POV: You’re trying to make a cozy Christmas meme but it’s too chaotic",Seasonal
2025-12-20,P218,"When you try to flex your new anime watchlist but it’s all holiday fillers",Pop Culture
2025-12-21,P219,"Me acting like I’m not addicted to X holiday meme threads",Internet Trends
2025-12-22,P220,"When your AI coworker sends you a festive meme during a deadline",Work Life
2025-12-23,P221,"POV: You’re hyped for Christmas but your AI decorations are glitching",Seasonal
2025-12-24,P222,"When Santa’s sleigh is delayed because of AI navigation issues",Seasonal
2025-12-25,P223,"When your AI gift unwrapper spoils your Christmas presents",Seasonal
2025-12-26,P224,"Me pretending I’m not crying over a viral holiday dog video",Relatable Humor
2025-12-27,P225,"When you try to rank up in a new game but the holiday lag is real",Gaming
2025-12-28,P226,"POV: You’re binge-watching a new sci-fi series but it’s all holiday metaphors",Pop Culture
2025-12-29,P227,"When your smart fridge orders eggnog but you’re lactose intolerant",Tech/AI
2025-12-30,P228,"Me acting like I’m ready for New Year’s resolutions",Seasonal
2025-12-31,P229,"When you try to make a New Year’s Eve meme but it’s just fireworks",Seasonal
2026-01-01,P230,"POV: You’re hyped for 2026 but your AI planner is still in 2025",Seasonal
2026-01-02,P231,"When your AI professor roasts your late holiday assignment",School Life
2026-01-03,P232,"Me pretending I’m sticking to my New Year’s gaming detox",Gaming
2026-01-04,P233,"When you join an X challenge but your post is just a gym selfie",Internet Trends
2026-01-05,P234,"POV: You’re trying to watch a new Netflix thriller but it’s too predictable",Pop Culture
2026-01-06,P235,"When your smart watch penalizes you for skipping January workouts",Tech/AI
2026-01-07,P236,"Me acting like I’m not stressed about post-holiday bills",Relatable Humor
2026-01-08,P237,"When your AI boss schedules a meeting on your mental health day",Work Life
2026-01-09,P238,"POV: You’re grinding a new esports league but your setup is budget",Gaming
2026-01-10,P239,"When you try to make a winter vibe meme but it’s just snow shoveling",Seasonal
2026-01-11,P240,"Me pretending I’m caught up on my January study schedule",School Life
2026-01-12,P241,"When your AI assistant spoils the new Dune sequel’s plot",Pop Culture
2026-01-13,P242,"POV: You’re trying to go viral on X but your meme is too wholesome",Internet Trends
2026-01-14,P243,"When your smart lamp flickers during a late-night work crunch",Tech/AI
2026-01-15,P244,"Me acting like I’m thriving in the January blues",Relatable Humor
2026-01-16,P245,"When you try to flex your new gaming PC but it crashes mid-stream",Gaming
2026-01-17,P246,"POV: You’re stuck in a virtual class but your AI avatar is frozen",School Life
2026-01-18,P247,"When you try to make a cozy winter meme but your heater’s broken",Seasonal
2026-01-19,P248,"Me pretending I’m not addicted to X Spaces rants",Internet Trends
2026-01-20,P249,"When your AI coworker takes your coffee order too literally",Work Life
2026-01-21,P250,"POV: You’re hyped for a new anime but it’s locked behind a paywall",Pop Culture
2026-01-22,P251,"When your smart fridge freezes your leftovers in January",Tech/AI
2026-01-23,P252,"Me acting like I’m ready for second-semester chaos",School Life
2026-01-24,P253,"When you try to rank up but the new game patch nerfs your main",Gaming
2026-01-25,P254,"POV: You’re trying to make a relatable meme but it’s just your cat",Relatable Humor
2026-01-26,P255,"When you get hyped for a new Marvel series but it’s all cameos",Pop Culture
2026-01-27,P256,"Me pretending I’m not stressed about Valentine’s Day plans",Seasonal
2026-01-28,P257,"When your AI assistant joins a viral X dance trend without you",Internet Trends
2026-01-29,P258,"POV: You’re stuck in a hybrid meeting with a dying laptop",Work Life
2026-01-30,P259,"When your smart watch buzzes ‘hydrate’ during a gaming marathon",Tech/AI
2026-01-31,P260,"Me acting like I’m not hyped for the new esports tournament",Gaming
2026-02-01,P261,"POV: You’re trying to study but X memes are too distracting",School Life
2026-02-02,P262,"When you try to make a Groundhog Day meme but it’s too repetitive",Seasonal
2026-02-03,P263,"Me pretending I’m not obsessed with the new viral dog video",Relatable Humor
2026-02-04,P264,"When your AI professor uses ‘rizzler’ in a lecture slide",Pop Culture
2026-02-05,P265,"POV: You’re grinding a new MMO but the servers are in maintenance",Gaming
2026-02-06,P266,"When your smart mirror says your outfit lacks ‘February energy’",Tech/AI
2026-02-07,P267,"Me acting like I’m ready for Valentine’s Day but I’m just single",Seasonal
2026-02-08,P268,"When you try to make a viral X post but it’s just your coffee",Internet Trends
2026-02-09,P269,"POV: You’re stuck in a group project with a slacker teammate",School Life
2026-02-10,P270,"When you send a Valentine’s Day meme to your crush but it’s just a cat",Seasonal
2026-02-11,P271,"Me pretending I’m not stressed about my hybrid work deadlines",Work Life
2026-02-12,P272,"When your AI assistant spoils the new horror movie’s twist",Pop Culture
2026-02-13,P273,"POV: You’re trying to rank up but your controller dies mid-match",Gaming
2026-02-14,P274,"When your Valentine’s Day date is ruined by an AI reservation glitch",Seasonal
2026-02-15,P275,"Me acting like I’m over Valentine’s Day but I’m just eating chocolate",Relatable Humor
2026-02-16,P276,"When your smart speaker plays breakup songs after Valentine’s Day",Tech/AI
2026-02-17,P277,"POV: You’re hyped for a new Netflix comedy but it’s all AI jokes",Pop Culture
2026-02-18,P278,"When you try to make a winter meme but it’s just you slipping on ice",Seasonal
2026-02-19,P279,"Me pretending I’m not addicted to X meme threads",Internet Trends
2026-02-20,P280,"When your AI boss assigns a project due on a holiday weekend",Work Life
2026-02-21,P281,"POV: You’re grinding for a new skin but your internet drops",Gaming
2026-02-22,P282,"When your AI study app locks you out for ‘excessive meme breaks’",School Life
2026-02-23,P283,"Me acting like I’m caught up on my assignments but I’m not",Relatable Humor
2026-02-24,P284,"When you try to flex your new anime watchlist but it’s all dubs",Pop Culture
2026-02-25,P285,"POV: You’re trying to make a viral X post but it’s too chaotic",Internet Trends
2026-02-26,P286,"When your smart fridge orders kale instead of snacks",Tech/AI
2026-02-27,P287,"Me pretending I’m ready for spring but I’m still in winter mode",Seasonal
2026-02-28,P288,"When your AI coworker takes credit for your meme idea",Work Life
2026-03-01,P289,"POV: You’re hyped for a new esports league but your rig is outdated",Gaming
2026-03-02,P290,"When you try to make a relatable meme but it’s just your laundry pile",Relatable Humor
2026-03-03,P291,"Me acting like I’m caught up on the new Star Wars series",Pop Culture
2026-03-04,P292,"When your AI professor assigns a group project due tomorrow",School Life
2026-03-05,P293,"POV: You’re trying to enjoy spring but your allergies are winning",Seasonal
2026-03-06,P294,"When your smart watch buzzes ‘stand up’ during a Netflix marathon",Tech/AI
2026-03-07,P295,"Me pretending I’m not addicted to X Spaces drama",Internet Trends
2026-03-08,P296,"When you try to flex your new gaming chair but you still lose",Gaming
2026-03-09,P297,"POV: You’re stuck in a virtual meeting with a glitchy AI host",Work Life
2026-03-10,P298,"When you try to make a spring vibe meme but it’s just rain",Seasonal
2026-03-11,P299,"Me acting like I’m ready for midterms but I’m just caffeinated",School Life
2026-03-12,P300,"When your AI assistant spoils the new Marvel movie’s cameo",Pop Culture
